Folsom Temperature Profiles (2001-2021) - All Sites,,,
JDAY,Depth,Temp,Seg
1036.5,10.91,17.5,63
1036.5,12.59,17.5,63
1036.5,13.99,17.5,63
1036.5,15.27,17.44,63
1036.5,16.95,17.44,63
1036.5,18.32,17.44,63
1036.5,20.09,17.39,63
1036.5,21.43,17.28,63
1036.51,22.89,17.11,63
1036.51,24.35,16.72,63
1036.51,25.91,16.56,63
1036.51,27.98,16.33,63
1036.51,28.99,15.83,63
1036.51,30.66,15.17,63
1036.51,32.13,14.89,63
1036.51,33.89,14.89,63
1036.51,34.9,14.89,63
1036.51,34.93,14.89,63
1048.5,0.4,16.17,63
1048.5,0.61,16.17,63
1048.5,1.65,16,63
1048.5,3.2,15.89,63
1048.5,4.63,15.89,63
1048.5,6.4,15.83,63
1048.5,7.77,15.83,63
1048.5,9.6,15.78,63
1048.5,10.76,15.78,63
1048.5,12.65,15.72,63
1048.5,13.62,15.72,63
1048.5,15.54,15.72,63
1048.5,16.73,15.72,63
1048.5,18.41,15.67,63
1048.5,20.06,15.67,63
1048.51,21.46,15.56,63
1048.51,23.2,15.22,63
1048.51,24.48,15.06,63
1048.51,26.06,14.78,63
1048.51,27.58,14.11,63
1048.51,29.05,13.61,63
1048.51,30.54,13.33,63
1048.51,32.25,13.11,63
1048.51,33.89,13,63
1048.51,35.02,12.94,63
1074.5,0.46,13.22,63
1074.5,1.86,13.22,63
1074.5,3.11,13.22,63
1074.5,4.82,13.22,63
1074.5,6.4,13.22,63
1074.5,8.6,13.22,63
1074.5,9.54,13.22,63
1074.5,11,13.22,63
1074.5,12.37,13.22,63
1074.5,13.9,13.22,63
1074.5,15.27,13.22,63
1074.5,16.76,13.22,63
1074.5,18.26,13.22,63
1074.5,19.96,13.22,63
1074.5,21.52,13.17,63
1074.51,22.89,13.17,63
1074.51,24.81,12.72,63
1074.51,26.06,12.5,63
1074.51,27.58,12.44,63
1074.51,29.17,11.67,63
1074.51,30.54,11.44,63
1074.51,32.46,11.44,63
1074.51,33.5,11.44,63
1074.51,34.26,11.39,63
1098.5,0.21,10.33,63
1098.5,2.01,10.28,63
1098.5,3.23,10.28,63
1098.5,4.85,10.28,63
1098.5,6.55,10.22,63
1098.5,7.8,10.22,63
1098.5,9.42,10.22,63
1098.5,10.67,10.22,63
1098.5,12.19,10.22,63
1098.5,13.72,10.22,63
1098.5,15.51,10.22,63
1098.5,16.98,10.17,63
1098.5,18.5,10.11,63
1098.5,20.12,9.94,63
1098.5,21.52,9.33,63
1098.51,23.1,9.06,63
1098.51,24.48,8.89,63
1098.51,25.91,8.44,63
1098.51,27.74,8.28,63
1098.51,29.47,8.22,63
1098.51,30.78,8.11,63
1098.51,32.03,8.06,63
1098.51,33.83,7.94,63
1098.51,35.33,7.78,63
1098.51,36.88,7.78,63
1098.51,38.19,7.83,63
1098.51,38.56,7.83,63
1130.5,0.52,10.72,63
1130.5,1.71,10.44,63
1130.5,3.29,9.61,63
1130.5,4.79,8.78,63
1130.5,6.13,8.72,63
1130.5,7.89,8.67,63
1130.5,9.57,8.67,63
1130.5,10.91,8.67,63
1130.5,12.47,8.67,63
1130.5,13.75,8.61,63
1130.5,15.7,8.61,63
1130.5,16.95,8.61,63
1130.5,18.35,8.56,63
1130.5,19.87,8.56,63
1130.5,21.46,8.56,63
1130.51,23.2,8.5,63
1130.51,24.48,8.5,63
1130.51,25.94,8.5,63
1130.51,27.92,8.44,63
1130.51,29.17,8.39,63
1130.51,30.6,8.33,63
1130.51,32.13,8.33,63
1130.51,33.77,8.28,63
1130.51,35.3,8.22,63
1130.51,36.88,8.17,63
1130.51,38.22,8.17,63
1130.51,40.05,8.17,63
1158.5,0.49,10.89,63
1158.5,1.55,10.89,63
1158.5,3.17,10.83,63
1158.5,4.88,10.83,63
1158.5,6.58,10.83,63
1158.5,7.77,10.83,63
1158.5,9.2,10.83,63
1158.5,10.7,10.78,63
1158.5,12.44,10.61,63
1158.5,13.78,10.22,63
1158.5,15.36,9.78,63
1158.5,16.89,9.06,63
1158.5,18.47,8.72,63
1158.5,20.27,8.44,63
1158.5,21.58,8.39,63
1158.51,22.89,8.28,63
1158.51,24.14,8.22,63
1158.51,26.06,8.22,63
1158.51,27.68,8.17,63
1158.51,29.14,8.17,63
1158.51,30.75,8.11,63
1186.5,0.37,14.61,63
1186.5,1.65,13.78,63
1186.5,3.26,13.33,63
1186.5,4.63,13,63
1186.5,6.46,12.78,63
1186.5,7.89,12.5,63
1186.5,9.48,12.33,63
1186.5,11.13,11.94,63
1186.5,12.19,11.78,63
1186.5,13.84,11.22,63
1186.5,15.36,10.61,63
1186.5,16.82,10.28,63
1186.5,18.38,10.17,63
1186.5,19.9,10,63
1186.5,21.4,9.83,63
1186.51,22.95,9.78,63
1186.51,24.66,9.72,63
1186.51,26.06,9.72,63
1186.51,27.61,9.44,63
1186.51,29.54,9.06,63
1186.51,30.78,9,63
1186.51,32.16,8.94,63
1186.51,33.59,8.83,63
1186.51,35.23,8.67,63
1186.51,36.97,8.61,63
1186.51,38.16,8.61,63
1186.51,39.84,8.61,63
1207.5,0.27,15.06,63
1207.5,1.58,15,63
1207.5,3.26,14.94,63
1207.5,4.79,14.94,63
1207.5,6.13,14.83,63
1207.5,7.86,14.78,63
1207.5,9.24,14.28,63
